Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,743,15,25,18575,928.75,17646.25,11145,6501.25,45374,3,Mar,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,484,10,23,11132,556.6,10575.4,4840,5735.4,45281,12,Dec,2023
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,107,16,29,3103,155.15,2947.85,1712,1235.85,45616,11,Nov,2024
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,532,17,37,19684,984.2,18699.8,9044,9655.8,45240,11,Nov,2023
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,250,20,19,4750,237.5,4512.5,5000,-487.5,45239,11,Nov,2023
Government,Germany,Carretera,"Government,Germany,Carretera",None,285,10,23,6555,327.75,6227.25,2850,3377.25,45393,4,Apr,2024
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,724,11,32,23168,1158.4,22009.6,7964,14045.6,45380,3,Mar,2024
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,268,14,36,9648,482.4,9165.6,3752,5413.6,45282,12,Dec,2023
Government,France,Montana,"Government,France,Montana",None,381,13,27,10287,514.35,9772.65,4953,4819.65,45055,5,May,2023
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,268,15,32,8576,428.8,8147.2,4020,4127.2,45589,10,Oct,2024
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,677,12,37,25049,1252.45,23796.55,8124,15672.55,45043,4,Apr,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,672,16,22,14784,739.2,14044.8,10752,3292.8,45368,3,Mar,2024
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,739,19,33,24387,1219.35,23167.65,14041,9126.65,45485,7,Jul,2024
Government,Germany,Montana,"Government,Germany,Montana",None,631,16,34,21454,1072.7,20381.3,10096,10285.3,45043,4,Apr,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,704,16,22,15488,774.4,14713.6,11264,3449.6,45545,9,Sep,2024
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,186,20,35,6510,325.5,6184.5,3720,2464.5,45321,1,Jan,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,959,10,36,34524,1726.2,32797.8,9590,23207.8,45305,1,Jan,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,678,11,38,25764,1288.2,24475.8,7458,17017.8,45134,7,Jul,2023
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,21,17,22,462,4.62,457.38,357,100.38,45086,6,Jun,2023
Government,Germany,Paseo,"Government,Germany,Paseo",None,874,17,22,19228,961.4,18266.6,14858,3408.6,45647,12,Dec,2024
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,498,14,17,8466,423.3,8042.7,6972,1070.7,45480,7,Jul,2024
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,172,17,20,3440,172,3268,2924,344,45636,12,Dec,2024
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,367,14,31,11377,568.85,10808.15,5138,5670.15,45522,8,Aug,2024
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,228,14,32,7296,364.8,6931.2,3192,3739.2,45662,1,Jan,2025
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,701,11,38,26638,1331.9,25306.1,7711,17595.1,45309,1,Jan,2024
Government,USA,Paseo,"Government,USA,Paseo",None,867,17,18,15606,780.3,14825.7,14739,86.7,45109,7,Jul,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,549,10,36,19764,988.2,18775.8,5490,13285.8,45428,5,May,2024
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,846,12,30,25380,1269,24111,10152,13959,45121,7,Jul,2023
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,449,12,31,13919,695.95,13223.05,5388,7835.05,45251,11,Nov,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,480,10,36,17280,864,16416,4800,11616,45672,1,Jan,2025
Government,Germany,Paseo,"Government,Germany,Paseo",None,455,17,22,10010,500.5,9509.5,7735,1774.5,45324,2,Feb,2024
Government,Mexico,Velo,"Government,Mexico,Velo",None,318,18,30,9540,477,9063,5724,3339,45364,3,Mar,2024
Enterprise,France,Velo,"Enterprise,France,Velo",None,936,17,23,21528,1076.4,20451.6,15912,4539.6,45752,4,Apr,2025
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,568,13,29,16472,823.6,15648.4,7384,8264.4,45105,6,Jun,2023
Government,Germany,Velo,"Government,Germany,Velo",None,907,16,37,33559,1677.95,31881.05,14512,17369.05,45095,6,Jun,2023
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,51,13,29,1479,73.95,1405.05,663,742.05,45284,12,Dec,2023
Enterprise,USA,Velo,"Enterprise,USA,Velo",None,317,18,23,7291,364.55,6926.45,5706,1220.45,45381,3,Mar,2024
Enterprise,Canada,Velo,"Enterprise,Canada,Velo",None,206,18,23,4738,236.9,4501.1,3708,793.1,45335,2,Feb,2024
Small Business,Canada,VTT,"Small Business,Canada,VTT",None,351,10,23,8073,403.65,7669.35,3510,4159.35,45133,7,Jul,2023
Channel Partners,Germany,VTT,"Channel Partners,Germany,VTT",None,524,14,35,18340,917,17423,7336,10087,45746,3,Mar,2025
Midmarket,France,VTT,"Midmarket,France,VTT",None,786,15,28,22008,1100.4,20907.6,11790,9117.6,45635,12,Dec,2024
Midmarket,Germany,VTT,"Midmarket,Germany,VTT",None,730,12,37,27010,1350.5,25659.5,8760,16899.5,45309,1,Jan,2024
Government,France,VTT,"Government,France,VTT",None,143,11,20,2860,143,2717,1573,1144,45705,2,Feb,2025
Small Business,France,VTT,"Small Business,France,VTT",None,280,16,35,9800,490,9310,4480,4830,45688,1,Jan,2025
Government,Canada,VTT,"Government,Canada,VTT",None,114,11,33,3762,188.1,3573.9,1254,2319.9,45115,7,Jul,2023
Government,France,Amarilla,"Government,France,Amarilla",None,234,20,18,4212,210.6,4001.4,4680,-678.6,45692,2,Feb,2025
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",None,202,12,23,4646,232.3,4413.7,2424,1989.7,45249,11,Nov,2023
Enterprise,Germany,Amarilla,"Enterprise,Germany,Amarilla",None,268,18,20,5360,268,5092,4824,268,45495,7,Jul,2024
Government,France,Amarilla,"Government,France,Amarilla",None,94,20,18,1692,84.6,1607.4,1880,-272.6,45669,1,Jan,2025
Government,Germany,Amarilla,"Government,Germany,Amarilla",None,835,10,19,15865,793.25,15071.75,8350,6721.75,45681,1,Jan,2025
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",None,727,12,23,16721,836.05,15884.95,8724,7160.95,45712,2,Feb,2025
Government,USA,Amarilla,"Government,USA,Amarilla",None,231,13,18,4158,207.9,3950.1,3003,947.1,45097,6,Jun,2023
Midmarket,USA,Amarilla,"Midmarket,USA,Amarilla",None,260,13,17,4420,221,4199,3380,819,45624,11,Nov,2024
Government,France,Paseo,"Government,France,Paseo",Low,617,19,23,14191,709.55,13481.45,11723,1758.45,45670,1,Jan,2025
Midmarket,France,Paseo,"Midmarket,France,Paseo",Low,989,14,31,30659,1532.95,29126.05,13846,15280.05,45535,8,Aug,2024
Government,France,Paseo,"Government,France,Paseo",Low,572,19,23,13156,657.8,12498.2,10868,1630.2,45360,3,Mar,2024
Government,France,Velo,"Government,France,Velo",Low,813,16,25,20325,1016.25,19308.75,13008,6300.75,45268,12,Dec,2023
