Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,662,19,33,21846,1092.3,20753.7,12578,8175.7,45287,12,Dec,2023
Government,Germany,Carretera,"Government,Germany,Carretera",None,163,12,22,3586,179.3,3406.7,1956,1450.7,45687,1,Jan,2025
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,808,10,28,22624,1131.2,21492.8,8080,13412.8,45539,9,Sep,2024
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,394,20,26,10244,512.2,9731.8,7880,1851.8,45423,5,May,2024
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,919,17,30,27570,1378.5,26191.5,15623,10568.5,45463,6,Jun,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,106,12,22,2332,116.6,2215.4,1272,943.4,45648,12,Dec,2024
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,260,11,37,9620,481,9139,2860,6279,45599,11,Nov,2024
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,370,15,18,6660,333,6327,5550,777,45205,10,Oct,2023
Government,France,Montana,"Government,France,Montana",None,34,10,30,1020,51,969,340,629,45700,2,Feb,2025
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,603,20,36,21708,1085.4,20622.6,12060,8562.6,45523,8,Aug,2024
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,393,18,18,7074,353.7,6720.3,7074,-353.7,45726,3,Mar,2025
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,344,10,21,7224,361.2,6862.8,3440,3422.8,45237,11,Nov,2023
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,88,13,18,1584,79.2,1504.8,1144,360.8,45421,5,May,2024
Government,Germany,Montana,"Government,Germany,Montana",None,745,19,25,18625,931.25,17693.75,14155,3538.75,45104,6,Jun,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,457,10,21,9597,479.85,9117.15,4570,4547.15,45611,11,Nov,2024
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,195,14,24,4680,234,4446,2730,1716,45154,8,Aug,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,26,10,33,858,8.58,849.42,260,589.42,45552,9,Sep,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,346,13,19,6574,328.7,6245.3,4498,1747.3,45208,10,Oct,2023
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,756,15,24,18144,907.2,17236.8,11340,5896.8,45222,10,Oct,2023
Government,Germany,Paseo,"Government,Germany,Paseo",None,332,19,34,11288,564.4,10723.6,6308,4415.6,45615,11,Nov,2024
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,75,17,19,1425,71.25,1353.75,1275,78.75,45623,11,Nov,2024
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,905,16,17,15385,769.25,14615.75,14480,135.75,45719,3,Mar,2025
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,727,10,34,24718,1235.9,23482.1,7270,16212.1,45204,10,Oct,2023
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,730,16,29,21170,1058.5,20111.5,11680,8431.5,45228,10,Oct,2023
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,192,13,19,3648,182.4,3465.6,2496,969.6,45601,11,Nov,2024
Government,USA,Paseo,"Government,USA,Paseo",None,126,12,28,3528,176.4,3351.6,1512,1839.6,45439,5,May,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,169,10,33,5577,278.85,5298.15,1690,3608.15,45750,4,Apr,2025
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,641,17,38,24358,1217.9,23140.1,10897,12243.1,45379,3,Mar,2024
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,547,10,24,13128,656.4,12471.6,5470,7001.6,45538,9,Sep,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,908,10,33,29964,1498.2,28465.8,9080,19385.8,45376,3,Mar,2024
Government,Germany,Paseo,"Government,Germany,Paseo",None,91,19,34,3094,154.7,2939.3,1729,1210.3,45555,9,Sep,2024
Government,Mexico,Velo,"Government,Mexico,Velo",None,824,15,30,24720,1236,23484,12360,11124,45711,2,Feb,2025
Enterprise,France,Velo,"Enterprise,France,Velo",None,851,13,32,27232,1361.6,25870.4,11063,14807.4,45271,12,Dec,2023
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,695,18,29,20155,1007.75,19147.25,12510,6637.25,45217,10,Oct,2023
Government,Germany,Velo,"Government,Germany,Velo",None,902,18,29,26158,1307.9,24850.1,16236,8614.1,45302,1,Jan,2024
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,620,18,29,17980,899,17081,11160,5921,45662,1,Jan,2025
