Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,961,14,30,28830,1441.5,27388.5,13454,13934.5,45587,10,Oct,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,916,11,18,16488,824.4,15663.6,10076,5587.6,45493,7,Jul,2024
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,858,16,18,15444,772.2,14671.8,13728,943.8,45521,8,Aug,2024
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,698,20,37,25826,1291.3,24534.7,13960,10574.7,45482,7,Jul,2024
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,14,17,34,476,4.76,471.24,238,233.24,45402,4,Apr,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,731,11,18,13158,657.9,12500.1,8041,4459.1,45157,8,Aug,2023
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,504,20,29,14616,730.8,13885.2,10080,3805.2,45641,12,Dec,2024
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,960,15,36,34560,1728,32832,14400,18432,45083,6,Jun,2023
Government,France,Montana,"Government,France,Montana",None,259,18,34,8806,440.3,8365.7,4662,3703.7,45537,9,Sep,2024
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,895,17,19,17005,850.25,16154.75,15215,939.75,45249,11,Nov,2023
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,694,19,22,15268,763.4,14504.6,13186,1318.6,45297,1,Jan,2024
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,284,12,31,8804,440.2,8363.8,3408,4955.8,45425,5,May,2024
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,259,16,22,5698,284.9,5413.1,4144,1269.1,45274,12,Dec,2023
Government,Germany,Montana,"Government,Germany,Montana",None,231,15,33,7623,381.15,7241.85,3465,3776.85,45560,9,Sep,2024
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,72,12,31,2232,111.6,2120.4,864,1256.4,45073,5,May,2023
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,180,16,25,4500,225,4275,2880,1395,45150,8,Aug,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,663,18,18,11934,596.7,11337.3,11934,-596.7,45688,1,Jan,2025
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,377,15,21,7917,395.85,7521.15,5655,1866.15,45680,1,Jan,2025
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,162,20,31,5022,251.1,4770.9,3240,1530.9,45597,11,Nov,2024
Government,Germany,Paseo,"Government,Germany,Paseo",None,821,20,19,15599,779.95,14819.05,16420,-1600.95,45264,12,Dec,2023
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,380,15,18,6840,342,6498,5700,798,45163,8,Aug,2023
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,519,10,26,13494,674.7,12819.3,5190,7629.3,45679,1,Jan,2025
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,769,20,38,29222,1461.1,27760.9,15380,12380.9,45169,8,Aug,2023
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,416,18,20,8320,416,7904,7488,416,45057,5,May,2023
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,852,15,21,17892,894.6,16997.4,12780,4217.4,45611,11,Nov,2024
Government,USA,Paseo,"Government,USA,Paseo",None,83,14,29,2407,120.35,2286.65,1162,1124.65,45702,2,Feb,2025
Government,Canada,Paseo,"Government,Canada,Paseo",None,43,18,18,774,7.74,766.26,774,-7.74,45148,8,Aug,2023
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,221,16,19,4199,209.95,3989.05,3536,453.05,45547,9,Sep,2024
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,277,17,34,9418,470.9,8947.1,4709,4238.1,45458,6,Jun,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,91,18,18,1638,81.9,1556.1,1638,-81.9,45284,12,Dec,2023
Government,Germany,Paseo,"Government,Germany,Paseo",None,23,20,19,437,4.37,432.63,460,-27.37,45247,11,Nov,2023
Government,Mexico,Velo,"Government,Mexico,Velo",None,91,14,16,1456,72.8,1383.2,1274,109.2,45651,12,Dec,2024
