Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,715,19,21,15015,750.75,14264.25,13585,679.25,45418,5,May,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,155,15,22,3410,170.5,3239.5,2325,914.5,45391,4,Apr,2024
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,223,16,20,4460,223,4237,3568,669,45124,7,Jul,2023
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,850,11,27,22950,1147.5,21802.5,9350,12452.5,45070,5,May,2023
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,83,17,34,2822,141.1,2680.9,1411,1269.9,45103,6,Jun,2023
Government,Germany,Carretera,"Government,Germany,Carretera",None,240,15,22,5280,264,5016,3600,1416,45042,4,Apr,2023
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,473,18,24,11352,567.6,10784.4,8514,2270.4,45603,11,Nov,2024
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,753,12,34,25602,1280.1,24321.9,9036,15285.9,45172,9,Sep,2023
Government,France,Montana,"Government,France,Montana",None,328,20,26,8528,426.4,8101.6,6560,1541.6,45396,4,Apr,2024
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,716,18,30,21480,1074,20406,12888,7518,45684,1,Jan,2025
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,720,10,31,22320,1116,21204,7200,14004,45421,5,May,2024
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,78,16,36,2808,140.4,2667.6,1248,1419.6,45520,8,Aug,2024
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,178,11,19,3382,169.1,3212.9,1958,1254.9,45526,8,Aug,2024
Government,Germany,Montana,"Government,Germany,Montana",None,217,18,20,4340,217,4123,3906,217,45695,2,Feb,2025
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,637,16,36,22932,1146.6,21785.4,10192,11593.4,45345,2,Feb,2024
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,747,20,31,23157,1157.85,21999.15,14940,7059.15,45667,1,Jan,2025
Government,Canada,Paseo,"Government,Canada,Paseo",None,223,14,29,6467,323.35,6143.65,3122,3021.65,45202,10,Oct,2023
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,553,19,32,17696,884.8,16811.2,10507,6304.2,45106,6,Jun,2023
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,742,17,35,25970,1298.5,24671.5,12614,12057.5,45064,5,May,2023
Government,Germany,Paseo,"Government,Germany,Paseo",None,919,19,30,27570,1378.5,26191.5,17461,8730.5,45055,5,May,2023
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,546,16,27,14742,737.1,14004.9,8736,5268.9,45061,5,May,2023
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,406,10,22,8932,446.6,8485.4,4060,4425.4,45691,2,Feb,2025
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,613,18,16,9808,490.4,9317.6,11034,-1716.4,45243,11,Nov,2023
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,400,17,24,9600,480,9120,6800,2320,45414,5,May,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,110,19,32,3520,176,3344,2090,1254,45112,7,Jul,2023
Government,USA,Paseo,"Government,USA,Paseo",None,742,14,23,17066,853.3,16212.7,10388,5824.7,45519,8,Aug,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,559,14,29,16211,810.55,15400.45,7826,7574.45,45754,4,Apr,2025
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,601,18,31,18631,931.55,17699.45,10818,6881.45,45359,3,Mar,2024
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,54,19,24,1296,64.8,1231.2,1026,205.2,45078,6,Jun,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,419,14,29,12151,607.55,11543.45,5866,5677.45,45292,1,Jan,2024
Government,Germany,Paseo,"Government,Germany,Paseo",None,937,19,30,28110,1405.5,26704.5,17803,8901.5,45411,4,Apr,2024
Government,Mexico,Velo,"Government,Mexico,Velo",None,87,16,22,1914,95.7,1818.3,1392,426.3,45174,9,Sep,2023
Enterprise,France,Velo,"Enterprise,France,Velo",None,361,14,18,6498,324.9,6173.1,5054,1119.1,45294,1,Jan,2024
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,562,12,21,11802,590.1,11211.9,6744,4467.9,45271,12,Dec,2023
Government,Germany,Velo,"Government,Germany,Velo",None,659,13,29,19111,955.55,18155.45,8567,9588.45,45152,8,Aug,2023
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,769,12,21,16149,807.45,15341.55,9228,6113.55,45112,7,Jul,2023
Enterprise,USA,Velo,"Enterprise,USA,Velo",None,528,14,26,13728,686.4,13041.6,7392,5649.6,45642,12,Dec,2024
Enterprise,Canada,Velo,"Enterprise,Canada,Velo",None,943,16,38,35834,1791.7,34042.3,15088,18954.3,45242,11,Nov,2023
