Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,225,16,24,5400,270,5130,3600,1530,45539,9,Sep,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,281,15,38,10678,533.9,10144.1,4215,5929.1,45630,12,Dec,2024
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,230,20,18,4140,207,3933,4600,-667,45405,4,Apr,2024
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,809,11,31,25079,1253.95,23825.05,8899,14926.05,45517,8,Aug,2024
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,169,13,30,5070,253.5,4816.5,2197,2619.5,45368,3,Mar,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,118,15,38,4484,224.2,4259.8,1770,2489.8,45466,6,Jun,2024
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,333,19,20,6660,333,6327,6327,0,45607,11,Nov,2024
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,621,15,16,9936,496.8,9439.2,9315,124.2,45186,9,Sep,2023
Government,France,Montana,"Government,France,Montana",None,273,16,26,7098,354.9,6743.1,4368,2375.1,45699,2,Feb,2025
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,816,20,28,22848,1142.4,21705.6,16320,5385.6,45625,11,Nov,2024
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,560,19,37,20720,1036,19684,10640,9044,45059,5,May,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,535,16,28,14980,749,14231,8560,5671,45630,12,Dec,2024
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,698,17,30,20940,1047,19893,11866,8027,45067,5,May,2023
Government,Germany,Montana,"Government,Germany,Montana",None,943,12,20,18860,943,17917,11316,6601,45331,2,Feb,2024
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,497,16,28,13916,695.8,13220.2,7952,5268.2,45520,8,Aug,2024
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,155,11,36,5580,279,5301,1705,3596,45694,2,Feb,2025
Government,Canada,Paseo,"Government,Canada,Paseo",None,338,19,34,11492,574.6,10917.4,6422,4495.4,45552,9,Sep,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,705,14,38,26790,1339.5,25450.5,9870,15580.5,45083,6,Jun,2023
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,726,17,35,25410,1270.5,24139.5,12342,11797.5,45674,1,Jan,2025
Government,Germany,Paseo,"Government,Germany,Paseo",None,334,12,20,6680,334,6346,4008,2338,45199,9,Sep,2023
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,766,20,20,15320,766,14554,15320,-766,45267,12,Dec,2023
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,908,16,31,28148,1407.4,26740.6,14528,12212.6,45447,6,Jun,2024
