Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,421,17,32,13472,673.6,12798.4,7157,5641.4,45716,2,Feb,2025
Government,Germany,Carretera,"Government,Germany,Carretera",None,704,11,36,25344,1267.2,24076.8,7744,16332.8,45060,5,May,2023
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,584,12,16,9344,467.2,8876.8,7008,1868.8,45137,7,Jul,2023
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,990,10,32,31680,1584,30096,9900,20196,45660,1,Jan,2025
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,663,10,28,18564,928.2,17635.8,6630,11005.8,45136,7,Jul,2023
Government,Germany,Carretera,"Government,Germany,Carretera",None,794,11,36,28584,1429.2,27154.8,8734,18420.8,45155,8,Aug,2023
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,679,11,33,22407,1120.35,21286.65,7469,13817.65,45333,2,Feb,2024
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,368,20,25,9200,460,8740,7360,1380,45352,3,Mar,2024
Government,France,Montana,"Government,France,Montana",None,207,15,19,3933,196.65,3736.35,3105,631.35,45589,10,Oct,2024
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,885,14,28,24780,1239,23541,12390,11151,45299,1,Jan,2024
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,105,10,23,2415,120.75,2294.25,1050,1244.25,45183,9,Sep,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,114,19,31,3534,176.7,3357.3,2166,1191.3,45212,10,Oct,2023
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,640,14,34,21760,1088,20672,8960,11712,45136,7,Jul,2023
Government,Germany,Montana,"Government,Germany,Montana",None,663,10,38,25194,1259.7,23934.3,6630,17304.3,45196,9,Sep,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,769,19,31,23839,1191.95,22647.05,14611,8036.05,45609,11,Nov,2024
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,34,15,38,1292,64.6,1227.4,510,717.4,45199,9,Sep,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,127,11,38,4826,241.3,4584.7,1397,3187.7,45697,2,Feb,2025
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,672,15,34,22848,1142.4,21705.6,10080,11625.6,45385,4,Apr,2024
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,478,10,31,14818,740.9,14077.1,4780,9297.1,45475,7,Jul,2024
Government,Germany,Paseo,"Government,Germany,Paseo",None,446,20,24,10704,535.2,10168.8,8920,1248.8,45468,6,Jun,2024
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,804,17,35,28140,1407,26733,13668,13065,45622,11,Nov,2024
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,596,17,16,9536,476.8,9059.2,10132,-1072.8,45534,8,Aug,2024
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,279,20,35,9765,488.25,9276.75,5580,3696.75,45301,1,Jan,2024
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,872,12,26,22672,1133.6,21538.4,10464,11074.4,45719,3,Mar,2025
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,865,15,34,29410,1470.5,27939.5,12975,14964.5,45300,1,Jan,2024
Government,USA,Paseo,"Government,USA,Paseo",None,207,15,29,6003,300.15,5702.85,3105,2597.85,45166,8,Aug,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,232,11,38,8816,440.8,8375.2,2552,5823.2,45551,9,Sep,2024
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,316,13,31,9796,489.8,9306.2,4108,5198.2,45271,12,Dec,2023
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,935,14,29,27115,1355.75,25759.25,13090,12669.25,45541,9,Sep,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,47,11,38,1786,89.3,1696.7,517,1179.7,45372,3,Mar,2024
Government,Germany,Paseo,"Government,Germany,Paseo",None,699,20,24,16776,838.8,15937.2,13980,1957.2,45184,9,Sep,2023
