Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,970,11,37,35890,1794.5,34095.5,10670,23425.5,45742,3,Mar,2025
Government,Germany,Carretera,"Government,Germany,Carretera",None,944,14,16,15104,755.2,14348.8,13216,1132.8,45450,6,Jun,2024
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,907,15,30,27210,1360.5,25849.5,13605,12244.5,45639,12,Dec,2024
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,257,14,28,7196,359.8,6836.2,3598,3238.2,45070,5,May,2023
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,682,10,34,23188,1159.4,22028.6,6820,15208.6,45041,4,Apr,2023
Government,Germany,Carretera,"Government,Germany,Carretera",None,195,14,16,3120,156,2964,2730,234,45264,12,Dec,2023
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,839,16,25,20975,1048.75,19926.25,13424,6502.25,45702,2,Feb,2025
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,265,16,36,9540,477,9063,4240,4823,45538,9,Sep,2024
Government,France,Montana,"Government,France,Montana",None,245,19,37,9065,453.25,8611.75,4655,3956.75,45545,9,Sep,2024
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,557,12,22,12254,612.7,11641.3,6684,4957.3,45755,4,Apr,2025
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,975,20,19,18525,926.25,17598.75,19500,-1901.25,45706,2,Feb,2025
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,946,12,24,22704,1135.2,21568.8,11352,10216.8,45504,7,Jul,2024
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,280,20,24,6720,336,6384,5600,784,45097,6,Jun,2023
Government,Germany,Montana,"Government,Germany,Montana",None,224,14,36,8064,403.2,7660.8,3136,4524.8,45096,6,Jun,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,813,12,24,19512,975.6,18536.4,9756,8780.4,45112,7,Jul,2023
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,853,19,30,25590,1279.5,24310.5,16207,8103.5,45359,3,Mar,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,579,11,35,20265,1013.25,19251.75,6369,12882.75,45380,3,Mar,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,210,14,25,5250,262.5,4987.5,2940,2047.5,45121,7,Jul,2023
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,467,11,37,17279,863.95,16415.05,5137,11278.05,45687,1,Jan,2025
Government,Germany,Paseo,"Government,Germany,Paseo",None,140,19,38,5320,266,5054,2660,2394,45694,2,Feb,2025
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,421,11,29,12209,610.45,11598.55,4631,6967.55,45602,11,Nov,2024
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,404,16,29,11716,585.8,11130.2,6464,4666.2,45487,7,Jul,2024
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,379,17,24,9096,454.8,8641.2,6443,2198.2,45561,9,Sep,2024
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,689,18,19,13091,654.55,12436.45,12402,34.45,45308,1,Jan,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,15,14,25,375,3.75,371.25,210,161.25,45181,9,Sep,2023
Government,USA,Paseo,"Government,USA,Paseo",None,974,12,34,33116,1655.8,31460.2,11688,19772.2,45366,3,Mar,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,782,11,35,27370,1368.5,26001.5,8602,17399.5,45039,4,Apr,2023
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,140,10,29,4060,203,3857,1400,2457,45627,12,Dec,2024
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,711,20,33,23463,1173.15,22289.85,14220,8069.85,45754,4,Apr,2025
Government,Canada,Paseo,"Government,Canada,Paseo",None,1000,11,35,35000,1750,33250,11000,22250,45132,7,Jul,2023
Government,Germany,Paseo,"Government,Germany,Paseo",None,631,19,38,23978,1198.9,22779.1,11989,10790.1,45215,10,Oct,2023
Government,Mexico,Velo,"Government,Mexico,Velo",None,996,13,33,32868,1643.4,31224.6,12948,18276.6,45091,6,Jun,2023
Enterprise,France,Velo,"Enterprise,France,Velo",None,73,20,19,1387,69.35,1317.65,1460,-142.35,45350,2,Feb,2024
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,911,17,24,21864,1093.2,20770.8,15487,5283.8,45114,7,Jul,2023
Government,Germany,Velo,"Government,Germany,Velo",None,270,15,28,7560,378,7182,4050,3132,45183,9,Sep,2023
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,592,17,24,14208,710.4,13497.6,10064,3433.6,45740,3,Mar,2025
Enterprise,USA,Velo,"Enterprise,USA,Velo",None,963,14,37,35631,1781.55,33849.45,13482,20367.45,45511,8,Aug,2024
