Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,924,17,32,29568,1478.4,28089.6,15708,12381.6,45204,10,Oct,2023
Government,Germany,Carretera,"Government,Germany,Carretera",None,988,18,27,26676,1333.8,25342.2,17784,7558.2,45321,1,Jan,2024
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,691,16,33,22803,1140.15,21662.85,11056,10606.85,45354,3,Mar,2024
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,856,12,24,20544,1027.2,19516.8,10272,9244.8,45120,7,Jul,2023
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,200,12,24,4800,240,4560,2400,2160,45616,11,Nov,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,967,18,27,26109,1305.45,24803.55,17406,7397.55,45325,2,Feb,2024
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,64,17,16,1024,51.2,972.8,1088,-115.2,45737,3,Mar,2025
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,979,18,24,23496,1174.8,22321.2,17622,4699.2,45517,8,Aug,2024
Government,France,Montana,"Government,France,Montana",None,459,16,36,16524,826.2,15697.8,7344,8353.8,45184,9,Sep,2023
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,213,17,28,5964,298.2,5665.8,3621,2044.8,45202,10,Oct,2023
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,747,14,35,26145,1307.25,24837.75,10458,14379.75,45338,2,Feb,2024
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,834,10,24,20016,1000.8,19015.2,8340,10675.2,45470,6,Jun,2024
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,854,18,26,22204,1110.2,21093.8,15372,5721.8,45559,9,Sep,2024
Government,Germany,Montana,"Government,Germany,Montana",None,345,15,18,6210,310.5,5899.5,5175,724.5,45643,12,Dec,2024
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,511,10,24,12264,613.2,11650.8,5110,6540.8,45172,9,Sep,2023
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,84,20,26,2184,109.2,2074.8,1680,394.8,45339,2,Feb,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,621,13,20,12420,621,11799,8073,3726,45633,12,Dec,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,94,18,27,2538,126.9,2411.1,1692,719.1,45423,5,May,2024
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,644,10,34,21896,1094.8,20801.2,6440,14361.2,45318,1,Jan,2024
Government,Germany,Paseo,"Government,Germany,Paseo",None,909,15,32,29088,1454.4,27633.6,13635,13998.6,45254,11,Nov,2023
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,937,13,29,27173,1358.65,25814.35,12181,13633.35,45084,6,Jun,2023
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,334,10,28,9352,467.6,8884.4,3340,5544.4,45078,6,Jun,2023
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,612,12,37,22644,1132.2,21511.8,7344,14167.8,45424,5,May,2024
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,641,20,36,23076,1153.8,21922.2,12820,9102.2,45123,7,Jul,2023
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,998,18,27,26946,1347.3,25598.7,17964,7634.7,45328,2,Feb,2024
Government,USA,Paseo,"Government,USA,Paseo",None,51,18,20,1020,51,969,918,51,45271,12,Dec,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,16,13,20,320,3.2,316.8,208,108.8,45583,10,Oct,2024
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,779,16,22,17138,856.9,16281.1,12464,3817.1,45328,2,Feb,2024
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,648,18,33,21384,1069.2,20314.8,11664,8650.8,45107,6,Jun,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,699,13,20,13980,699,13281,9087,4194,45337,2,Feb,2024
Government,Germany,Paseo,"Government,Germany,Paseo",None,763,15,32,24416,1220.8,23195.2,11445,11750.2,45401,4,Apr,2024
Government,Mexico,Velo,"Government,Mexico,Velo",None,883,17,31,27373,1368.65,26004.35,15011,10993.35,45342,2,Feb,2024
Enterprise,France,Velo,"Enterprise,France,Velo",None,351,15,17,5967,298.35,5668.65,5265,403.65,45517,8,Aug,2024
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,161,16,23,3703,185.15,3517.85,2576,941.85,45260,11,Nov,2023
Government,Germany,Velo,"Government,Germany,Velo",None,381,15,37,14097,704.85,13392.15,5715,7677.15,45584,10,Oct,2024
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,187,16,23,4301,215.05,4085.95,2992,1093.95,45480,7,Jul,2024
Enterprise,USA,Velo,"Enterprise,USA,Velo",None,649,10,17,11033,551.65,10481.35,6490,3991.35,45682,1,Jan,2025
Enterprise,Canada,Velo,"Enterprise,Canada,Velo",None,781,13,26,20306,1015.3,19290.7,10153,9137.7,45710,2,Feb,2025
Small Business,Canada,VTT,"Small Business,Canada,VTT",None,244,15,34,8296,414.8,7881.2,3660,4221.2,45114,7,Jul,2023
Channel Partners,Germany,VTT,"Channel Partners,Germany,VTT",None,977,11,29,28333,1416.65,26916.35,10747,16169.35,45470,6,Jun,2024
Midmarket,France,VTT,"Midmarket,France,VTT",None,673,16,36,24228,1211.4,23016.6,10768,12248.6,45372,3,Mar,2024
Midmarket,Germany,VTT,"Midmarket,Germany,VTT",None,559,18,18,10062,503.1,9558.9,10062,-503.1,45547,9,Sep,2024
Government,France,VTT,"Government,France,VTT",None,586,13,36,21096,1054.8,20041.2,7618,12423.2,45079,6,Jun,2023
Small Business,France,VTT,"Small Business,France,VTT",None,864,17,24,20736,1036.8,19699.2,14688,5011.2,45417,5,May,2024
Government,Canada,VTT,"Government,Canada,VTT",None,195,15,19,3705,185.25,3519.75,2925,594.75,45171,9,Sep,2023
Government,France,Amarilla,"Government,France,Amarilla",None,322,14,26,8372,418.6,7953.4,4508,3445.4,45173,9,Sep,2023
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",None,963,11,36,34668,1733.4,32934.6,10593,22341.6,45308,1,Jan,2024
Enterprise,Germany,Amarilla,"Enterprise,Germany,Amarilla",None,904,14,32,28928,1446.4,27481.6,12656,14825.6,45336,2,Feb,2024
Government,France,Amarilla,"Government,France,Amarilla",None,166,14,26,4316,215.8,4100.2,2324,1776.2,45136,7,Jul,2023
Government,Germany,Amarilla,"Government,Germany,Amarilla",None,46,14,21,966,9.66,956.34,644,312.34,45270,12,Dec,2023
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",None,241,11,36,8676,433.8,8242.2,2651,5591.2,45554,9,Sep,2024
Government,USA,Amarilla,"Government,USA,Amarilla",None,424,15,28,11872,593.6,11278.4,6360,4918.4,45530,8,Aug,2024
Midmarket,USA,Amarilla,"Midmarket,USA,Amarilla",None,84,15,22,1848,92.4,1755.6,1260,495.6,45610,11,Nov,2024
Government,France,Paseo,"Government,France,Paseo",Low,914,18,20,18280,914,17366,16452,914,45747,3,Mar,2025
Midmarket,France,Paseo,"Midmarket,France,Paseo",Low,34,12,37,1258,62.9,1195.1,408,787.1,45165,8,Aug,2023
