Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,106,16,38,4028,201.4,3826.6,1696,2130.6,45374,3,Mar,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,181,12,25,4525,226.25,4298.75,2172,2126.75,45548,9,Sep,2024
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,737,16,27,19899,994.95,18904.05,11792,7112.05,45747,3,Mar,2025
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,462,11,21,9702,485.1,9216.9,5082,4134.9,45248,11,Nov,2023
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,330,20,38,12540,627,11913,6600,5313,45452,6,Jun,2024
Government,Germany,Carretera,"Government,Germany,Carretera",None,54,12,25,1350,67.5,1282.5,648,634.5,45066,5,May,2023
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,614,16,35,21490,1074.5,20415.5,9824,10591.5,45493,7,Jul,2024
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,800,20,34,27200,1360,25840,16000,9840,45444,6,Jun,2024
Government,France,Montana,"Government,France,Montana",None,77,15,23,1771,88.55,1682.45,1155,527.45,45064,5,May,2023
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,676,17,17,11492,574.6,10917.4,11492,-574.6,45340,2,Feb,2024
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,70,17,17,1190,59.5,1130.5,1190,-59.5,45095,6,Jun,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,421,18,17,7157,357.85,6799.15,7578,-778.85,45207,10,Oct,2023
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,632,17,21,13272,663.6,12608.4,10744,1864.4,45180,9,Sep,2023
Government,Germany,Montana,"Government,Germany,Montana",None,430,17,16,6880,344,6536,7310,-774,45314,1,Jan,2024
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,638,18,17,10846,542.3,10303.7,11484,-1180.3,45421,5,May,2024
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,646,12,20,12920,646,12274,7752,4522,45173,9,Sep,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,883,15,25,22075,1103.75,20971.25,13245,7726.25,45214,10,Oct,2023
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,159,16,26,4134,206.7,3927.3,2544,1383.3,45152,8,Aug,2023
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,889,13,34,30226,1511.3,28714.7,11557,17157.7,45203,10,Oct,2023
Government,Germany,Paseo,"Government,Germany,Paseo",None,609,15,31,18879,943.95,17935.05,9135,8800.05,45295,1,Jan,2024
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,61,18,17,1037,51.85,985.15,1098,-112.85,45251,11,Nov,2023
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,654,17,20,13080,654,12426,11118,1308,45359,3,Mar,2024
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,234,12,16,3744,187.2,3556.8,2808,748.8,45251,11,Nov,2023
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,276,14,30,8280,414,7866,3864,4002,45374,3,Mar,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,17,16,26,442,4.42,437.58,272,165.58,45224,10,Oct,2023
Government,USA,Paseo,"Government,USA,Paseo",None,87,20,25,2175,108.75,2066.25,1740,326.25,45177,9,Sep,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,236,15,25,5900,295,5605,3540,2065,45209,10,Oct,2023
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,751,17,33,24783,1239.15,23543.85,12767,10776.85,45372,3,Mar,2024
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,306,20,22,6732,336.6,6395.4,6120,275.4,45415,5,May,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,273,15,25,6825,341.25,6483.75,4095,2388.75,45485,7,Jul,2024
Government,Germany,Paseo,"Government,Germany,Paseo",None,734,15,31,22754,1137.7,21616.3,11010,10606.3,45155,8,Aug,2023
Government,Mexico,Velo,"Government,Mexico,Velo",None,520,17,21,10920,546,10374,8840,1534,45241,11,Nov,2023
Enterprise,France,Velo,"Enterprise,France,Velo",None,977,10,17,16609,830.45,15778.55,9770,6008.55,45207,10,Oct,2023
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,153,11,33,5049,252.45,4796.55,1683,3113.55,45389,4,Apr,2024
Government,Germany,Velo,"Government,Germany,Velo",None,58,11,28,1624,81.2,1542.8,638,904.8,45274,12,Dec,2023
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,882,11,33,29106,1455.3,27650.7,9702,17948.7,45405,4,Apr,2024
Enterprise,USA,Velo,"Enterprise,USA,Velo",None,998,10,38,37924,1896.2,36027.8,9980,26047.8,45231,11,Nov,2023
Enterprise,Canada,Velo,"Enterprise,Canada,Velo",None,570,19,32,18240,912,17328,10830,6498,45484,7,Jul,2024
Small Business,Canada,VTT,"Small Business,Canada,VTT",None,595,18,34,20230,1011.5,19218.5,10710,8508.5,45549,9,Sep,2024
Channel Partners,Germany,VTT,"Channel Partners,Germany,VTT",None,437,11,18,7866,393.3,7472.7,4807,2665.7,45677,1,Jan,2025
Midmarket,France,VTT,"Midmarket,France,VTT",None,797,18,17,13549,677.45,12871.55,14346,-1474.45,45742,3,Mar,2025
Midmarket,Germany,VTT,"Midmarket,Germany,VTT",None,138,17,32,4416,220.8,4195.2,2346,1849.2,45050,5,May,2023
Government,France,VTT,"Government,France,VTT",None,393,15,29,11397,569.85,10827.15,5895,4932.15,45399,4,Apr,2024
Small Business,France,VTT,"Small Business,France,VTT",None,155,18,24,3720,186,3534,2790,744,45132,7,Jul,2023
Government,Canada,VTT,"Government,Canada,VTT",None,303,12,25,7575,378.75,7196.25,3636,3560.25,45290,12,Dec,2023
Government,France,Amarilla,"Government,France,Amarilla",None,442,10,21,9282,464.1,8817.9,4420,4397.9,45375,3,Mar,2024
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",None,870,18,16,13920,696,13224,15660,-2436,45291,12,Dec,2023
Enterprise,Germany,Amarilla,"Enterprise,Germany,Amarilla",None,428,18,31,13268,663.4,12604.6,7704,4900.6,45634,12,Dec,2024
Government,France,Amarilla,"Government,France,Amarilla",None,66,10,21,1386,69.3,1316.7,660,656.7,45342,2,Feb,2024
Government,Germany,Amarilla,"Government,Germany,Amarilla",None,170,12,23,3910,195.5,3714.5,2040,1674.5,45613,11,Nov,2024
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",None,516,18,16,8256,412.8,7843.2,9288,-1444.8,45685,1,Jan,2025
Government,USA,Amarilla,"Government,USA,Amarilla",None,380,15,21,7980,399,7581,5700,1881,45756,4,Apr,2025
Midmarket,USA,Amarilla,"Midmarket,USA,Amarilla",None,90,13,37,3330,166.5,3163.5,1170,1993.5,45337,2,Feb,2024
Government,France,Paseo,"Government,France,Paseo",Low,249,20,31,7719,385.95,7333.05,4980,2353.05,45341,2,Feb,2024
Midmarket,France,Paseo,"Midmarket,France,Paseo",Low,506,12,16,8096,404.8,7691.2,6072,1619.2,45407,4,Apr,2024
Government,France,Paseo,"Government,France,Paseo",Low,27,20,31,837,8.37,828.63,540,288.63,45539,9,Sep,2024
Government,France,Velo,"Government,France,Velo",Low,635,12,36,22860,1143,21717,7620,14097,45067,5,May,2023
Government,Canada,VTT,"Government,Canada,VTT",Low,217,12,25,5425,271.25,5153.75,2604,2549.75,45556,9,Sep,2024
Channel Partners,USA,Carretera,"Channel Partners,USA,Carretera",Low,407,18,19,7733,386.65,7346.35,7326,20.35,45301,1,Jan,2024
Government,Mexico,Carretera,"Government,Mexico,Carretera",Low,94,17,19,1786,89.3,1696.7,1598,98.7,45120,7,Jul,2023
Government,USA,Carretera,"Government,USA,Carretera",Low,681,14,34,23154,1157.7,21996.3,9534,12462.3,45209,10,Oct,2023
Channel Partners,Canada,Carretera,"Channel Partners,Canada,Carretera",Low,962,12,22,21164,1058.2,20105.8,11544,8561.8,45434,5,May,2024
Enterprise,USA,Carretera,"Enterprise,USA,Carretera",Low,257,13,34,8738,436.9,8301.1,3341,4960.1,45486,7,Jul,2024
Channel Partners,France,Carretera,"Channel Partners,France,Carretera",Low,310,12,21,6510,325.5,6184.5,3720,2464.5,45673,1,Jan,2025
